0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:45:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:45:46 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:45:46 +0530] "GET /Project4/ctl/UserCtl HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:45:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:46:20 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9957
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:46:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:46:23 +0530] "GET /Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 8879
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:46:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:47:33 +0530] "GET /Project4/ctl/CollegeCtl HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:47:33 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9957
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:47:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:48:00 +0530] "GET /Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 8879
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:48:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:48:15 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9957
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:48:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:48:53 +0530] "GET /Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 8879
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:48:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:00:43 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9957
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:00:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
